x y asr asr_ci dr dr_ci
0 0 0.0458 0.0151 0.9833 0.0103
1 0 0.0292 0.0151 0.9833 0.0103
2 0 0.0708 0.0197 0.9833 0.0103
0 1 0.0667 0.0103 0.5583 0.0468
1 1 0.0708 0.0234 0.5583 0.0468
2 1 0.0917 0.0393 0.5625 0.0469
0 2 0.0417 0.0350 0.5542 0.0480
1 2 0.0583 0.0485 0.5583 0.0468
2 2 0.0708 0.0345 0.5625 0.0469
